template,status,total_return,annual_return,benchmark_total_return,benchmark_annual_return,excess_total_return,excess_annual_return,sharpe,max_drawdown,orders,filled_orders,blocked_orders,rejected_orders,strategy_parameters,detail_complete,annual_rows
low_volatility,executed,0.24082329416735115,0.07810828876011233,0.2944494826327224,0.05517396820207732,-0.041427795510647014,0.02173510837943904,0.4061888162291972,-0.13376086131000475,824,824,0,0,"{""rebalance_sessions"": 20, ""top_n"": 20}",True,4
momentum_12_1,executed,0.3192480860909708,0.10138591310649026,0.2944494826327224,0.05517396820207732,0.01915764484513649,0.04379556954305275,0.4058954352405251,-0.3377148831093433,235,230,5,0,"{""rebalance_sessions"": 63, ""top_n"": 15}",True,4
rsi_reversal,executed,0.5002819499028948,0.15187315449891337,0.2944494826327224,0.05517396820207732,0.1590115875758542,0.09164288469095094,0.6052024653085005,-0.29851901255689484,2631,2607,20,4,"{""rebalance_sessions"": 10, ""top_n"": 20}",True,4
